Cités;X;Y;Alliance
Corinthe;37.9085315;22.8988798;Sparte
Corcyre;39.591337;19.8596189;Athenes
Sparte;37.0744494;22.4301778;Sparte
Athenes;37.9755648;23.7348324;Athenes
Samos;37.7246162;26.8192919;Athenes
Chios;38.3758131;26.0646552;Athenes
Lesbos;39.1758418;25.9989135;Athenes
Megare;37.9965887;23.3445017;Sparte
Sicyone;37.5903;22.4240;Sparte
Pellene;38.0432746;22.5483384;Sparte
Elis;37.8830916;21.3847776;Sparte
Ambracie;39.1613205;20.986264;Sparte
Leucade;38.7065734;20.6416779;Sparte
Syracuse;37.0646139;15.2907196;Sparte
